JP40, SMT-JUMPER_2_NO_NO-SILK, 283.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP41, SMT-JUMPER_2_NO_NO-SILK, 298.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP42, SMT-JUMPER_2_NO_NO-SILK, 313.25, 193.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP43, SMT-JUMPER_2_NO_NO-SILK, 13.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP44, SMT-JUMPER_2_NO_NO-SILK, 28.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP45, SMT-JUMPER_2_NO_NO-SILK, 43.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP46, SMT-JUMPER_2_NO_NO-SILK, 58.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP47, SMT-JUMPER_2_NO_NO-SILK, 73.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP48, SMT-JUMPER_2_NO_NO-SILK, 88.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP49, SMT-JUMPER_2_NO_NO-SILK, 103.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP50, SMT-JUMPER_2_NO_NO-SILK, 118.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP51, SMT-JUMPER_2_NO_NO-SILK, 133.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP52, SMT-JUMPER_2_NO_NO-SILK, 148.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP53, SMT-JUMPER_2_NO_NO-SILK, 163.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP54, SMT-JUMPER_2_NO_NO-SILK, 178.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP55, SMT-JUMPER_2_NO_NO-SILK, 193.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP56, SMT-JUMPER_2_NO_NO-SILK, 208.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
JP57, SMT-JUMPER_2_NO_NO-SILK, 223.25, 178.25, T,   0, JUMPER-SMT_2_NO_NO-SILK
